HardSquare256_ORCI_3,2,2,,HardRectangle256_ORCI_3,2,4,,HardRectangle256_ORCI_AGVC_3,2,3,,HardRectangle256_ORCI2D_3,2,2
HardSquare256_ORCI_4,2,2,,HardRectangle256_ORCI_4,2,4,,HardRectangle256_ORCI_AGVC_4,2,2,,HardRectangle256_ORCI2D_4,2,2
HardSquare256_ORCI_5,2,2,,HardRectangle256_ORCI_5,2,4,,HardRectangle256_ORCI_AGVC_5,2,2,,HardRectangle256_ORCI2D_5,2,2
HardSquare256_ORCI_6,2,2,,HardRectangle256_ORCI_6,2,4,,HardRectangle256_ORCI_AGVC_6,2,2,,HardRectangle256_ORCI2D_6,2,2
HardSquare256_ORCI_7,2,2,,HardRectangle256_ORCI_7,2,3,,HardRectangle256_ORCI_AGVC_7,2,2,,HardRectangle256_ORCI2D_7,2,2
HardSquare256_ORCI_8,2,2,,HardRectangle256_ORCI_8,2,4,,HardRectangle256_ORCI_AGVC_8,2,3,,HardRectangle256_ORCI2D_8,2,2
HardSquare256_ORCI_9,2,2,,HardRectangle256_ORCI_9,2,4,,HardRectangle256_ORCI_AGVC_9,2,3,,HardRectangle256_ORCI2D_9,2,2
,,,,,,,,,,,,,,
HardSquare529_ORCI_0,2,2,,HardRectangle529_ORCI_0,2,4,,HardRectangle529_ORCI_AGVC_0,2,2,,HardRectangle529_ORCI2D_0,2,2
HardSquare529_ORCI_1,2,2,,HardRectangle529_ORCI_1,2,4,,HardRectangle529_ORCI_AGVC_1,2,3,,HardRectangle529_ORCI2D_1,2,2
HardSquare529_ORCI_2,2,2,,HardRectangle529_ORCI_2,2,4,,HardRectangle529_ORCI_AGVC_2,2,2,,HardRectangle529_ORCI2D_2,2,2
HardSquare529_ORCI_3,2,2,,HardRectangle529_ORCI_3,2,4,,HardRectangle529_ORCI_AGVC_3,2,2,,HardRectangle529_ORCI2D_3,2,2
HardSquare529_ORCI_4,2,2,,HardRectangle529_ORCI_4,2,4,,HardRectangle529_ORCI_AGVC_4,2,2,,HardRectangle529_ORCI2D_4,2,2
